"KO01" "KO02" "KO03" "KO04" "KO05x" "KO05" "KO06" "KO07" "KO08" "KO09" "KO10" "KO11" "KO12" "KO13" "KO14" "KO15" "KO16" "KO17" "KO18" "KO19" "KO20" "KO21" "KO22" "KO23" "KO24" "GR01" "GR02" "GR03" "GR04" "RF02" "RF03"
"Phe" "3,67E-02" "5,31E-02" "4,04E-02" "1,25E-01" "1,22E-01" "5,98E-02" "5,00E-02" "4,39E-02" "4,85E-02" "3,14E-02" "6,03E-02" "4,31E-02" "4,70E-02" "8,44E-02" "5,27E-02" "6,56E-02" "6,65E-02" "4,10E-02" "4,66E-02" "3,61E-02" "4,69E-02" "6,67E-02" "4,79E-02" "6,13E-02" "4,61E-02" "4,47E-02" "6,48E-02" "4,44E-02" "5,64E-02" "5,57E-02" "5,17E-02"
"Pyridoxal" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "3,94E-03" "2,78E-03" "2,85E-03" "4,20E-03" "2,66E-03" "1,96E-03" NA "5,62E-03" "4,77E-03" NA NA NA NA
"Synephrine" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "3,60E-03" NA NA NA NA NA NA NA NA NA
"Pyridoxine" NA "6,61E-03" "3,74E-03" NA NA NA "2,47E-03" NA NA NA "2,35E-03" NA NA NA NA NA NA NA NA NA NA "3,31E-03" NA NA NA NA NA NA NA NA NA
"3-Methylhistidine" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2,26E-03" NA NA NA "3,16E-03" NA NA NA NA NA
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine" NA "1,91E-03" NA NA NA NA NA "8,12E-04" NA NA NA NA NA NA NA NA NA NA NA NA NA "1,20E-03" NA NA NA NA NA NA NA NA NA
"N-Acetylornithine" "1,62E-02" "1,59E-02" NA NA NA NA "1,81E-02" "1,34E-02" "1,16E-02" "2,69E-02" "2,45E-02" "3,27E-02" "6,95E-03" "4,36E-03" "1,10E-02" "9,15E-03" "1,92E-02" "1,75E-02" NA "1,76E-02" "1,54E-02" "2,80E-02" "1,90E-02" "1,56E-02" "2,77E-02" "1,34E-02" "2,17E-02" "5,57E-02" "2,76E-02" NA "7,04E-03"
"N-Ethylglutamine" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "5,04E-03" NA NA NA NA NA
"Arg" "8,67E-02" "5,39E-02" "3,10E-02" "4,18E-02" "1,14E-01" "2,25E-02" "6,46E-02" "6,54E-02" "6,43E-02" "1,06E-01" "5,30E-02" "8,06E-02" "5,15E-02" "3,71E-02" "7,81E-02" "2,80E-02" "5,17E-02" "9,59E-02" "1,36E-01" "7,21E-02" "7,49E-02" "1,11E-01" "9,28E-02" "9,37E-02" "9,00E-02" "3,73E-02" "6,90E-02" "6,52E-02" "1,47E-01" "4,34E-02" "6,24E-02"
"2-Guanidinobenzimidazole" NA "2,11E-03" NA NA NA NA NA NA NA NA "3,10E-03" NA NA NA NA NA NA NA NA NA NA "2,35E-03" NA NA NA "2,32E-03" NA NA NA NA NA
"Citrulline" "3,45E-02" "3,31E-02" "1,97E-02" "7,49E-02" "1,07E-01" "1,70E-02" "4,46E-02" "3,19E-02" "3,89E-02" "6,89E-02" "5,13E-02" "8,47E-02" "4,59E-02" "7,23E-02" "3,79E-02" "9,57E-02" "3,18E-02" "4,97E-02" "1,56E-02" "6,70E-02" "5,96E-02" "3,90E-02" "4,06E-02" "3,57E-02" "5,82E-02" "3,11E-02" "4,72E-02" "3,36E-02" "1,10E-01" "6,22E-02" "5,75E-02"
"Cys-Gly" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2,46E-03" "2,77E-03" "1,83E-02" NA NA NA NA NA NA
"Glucosamine" NA "2,54E-02" "1,63E-02" NA "9,08E-02" "1,58E-02" "2,34E-02" "2,21E-02" "1,66E-02" "6,24E-02" "2,01E-02" NA NA NA NA NA "1,53E-02" NA "1,53E-02" "2,98E-02" "2,37E-02" "3,72E-02" "2,61E-02" "2,27E-02" "1,92E-02" "2,79E-02" "2,91E-02" "3,17E-02" NA NA NA
"Tyr" "1,64E-02" "2,54E-02" "1,79E-02" "2,85E-01" "2,38E-01" "4,58E-02" "2,51E-02" "2,11E-02" "2,77E-02" "2,31E-02" "3,88E-02" "2,74E-02" "3,09E-02" "5,72E-02" "3,12E-02" "3,86E-02" "4,73E-02" "2,29E-02" "6,20E-02" "2,01E-02" "2,93E-02" "4,42E-02" "2,85E-02" "4,08E-02" "1,90E-02" "2,33E-02" "5,56E-02" "3,71E-02" "9,63E-02" NA "2,71E-02"
"Epinephrine" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2,07E-03" NA NA NA NA NA NA NA NA NA
"Nalpha,Nalpha-Dimethylhistidine" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1,77E-03" NA NA NA NA NA NA NA NA NA
"N8-Acetylspermidine" NA "3,98E-03" "1,34E-03" NA NA "6,72E-04" "1,14E-03" "1,35E-03" NA NA "1,54E-03" NA NA NA NA NA NA NA NA NA NA "2,09E-03" NA NA NA "3,87E-03" "1,84E-03" "1,44E-03" NA NA NA
"Gly-Leu" NA "5,74E-03" NA NA NA NA NA NA NA NA "4,38E-03" NA NA NA NA NA NA NA NA NA NA "3,55E-03" NA NA NA "5,23E-03" "6,79E-03" NA NA NA NA
"Nepsilon-Acetyllysine" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "3,34E-03" NA NA NA NA NA NA NA NA NA
"Castanospermine" NA NA NA NA NA NA NA NA NA NA "2,75E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2,56E-03" NA NA NA NA NA
"5-Methoxytryptamine+2,6-Diaminoheptanedioate" NA NA NA "1,94E-02" "2,57E-02" "2,40E-02" NA NA NA "3,19E-02" NA NA NA NA NA "2,79E-02" "7,22E-02" NA NA NA NA NA NA NA NA "4,46E-02" "5,10E-02" "5,45E-02" NA NA NA
"2,6-Diaminoheptanedioate" "1,03E-01" "5,07E-02" "1,89E-02" NA NA NA "6,57E-02" "6,46E-02" "6,97E-02" NA "6,24E-02" "2,11E-01" "1,17E-01" "5,54E-02" "9,32E-02" NA NA "1,35E-01" "3,43E-02" "7,52E-02" "9,61E-02" "7,64E-02" "5,31E-02" "6,71E-02" "1,13E-01" NA NA NA NA NA "1,05E-01"
"N-Acetylhistidine" NA "4,84E-03" "3,47E-03" NA NA NA "4,53E-03" NA NA NA "3,32E-03" NA NA NA NA NA NA NA NA NA NA "2,93E-03" NA NA NA "2,96E-03" NA NA NA NA NA
"Hydroxyatrazine" NA "3,27E-03" "1,73E-03" NA NA NA "1,07E-03" "1,38E-03" NA NA "2,08E-03" NA NA NA NA NA NA NA NA NA NA "2,12E-03" NA NA "7,27E-04" "3,01E-03" "1,12E-03" "1,09E-03" NA NA NA
"Arginine ethyl ester" NA "4,52E-03" "2,33E-03" NA NA NA "3,38E-03" "1,81E-03" NA NA "2,40E-03" NA NA NA NA NA NA NA NA NA NA "2,39E-03" NA NA NA "4,73E-03" "2,07E-03" NA NA NA NA
"Tryptophanamide+O-Acetylcarnitine" NA "5,12E-03" NA NA NA NA NA NA NA NA "4,52E-03" NA NA NA NA NA NA NA NA NA NA "4,28E-03" NA NA NA "3,30E-03" "1,53E-03" NA NA NA NA
"Trp" NA "9,23E-03" "6,64E-03" "1,65E-02" "2,09E-02" "1,26E-02" "8,38E-03" "6,51E-03" "1,18E-02" NA "9,00E-03" NA "5,52E-03" "1,02E-02" "8,01E-03" NA "1,50E-02" NA "1,97E-02" "6,74E-03" "8,33E-03" "1,19E-02" "6,52E-03" "1,36E-02" "7,59E-03" "9,27E-03" "1,47E-02" NA "1,52E-02" NA NA
"5-Methoxy-3-indoleacetate" "3,04E-02" NA NA NA NA NA NA NA "5,04E-02" NA "4,92E-02" NA "4,36E-02" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"N-Acetylglucosamine" NA "4,57E-02" "4,22E-02" NA NA NA "3,42E-02" "3,24E-02" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "5,92E-02" "8,29E-02" NA NA NA NA
"Carnosine" NA "1,19E-02" "5,45E-03" NA NA NA NA "3,75E-03" NA NA "3,56E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "8,88E-03" NA NA NA NA NA
"Keramine" "2,76E-03" "4,76E-03" "2,67E-03" "1,33E-03" "1,89E-03" NA "3,09E-03" "3,17E-03" "2,80E-03" "1,24E-03" "4,25E-03" "3,14E-03" "2,21E-03" "1,78E-03" "3,13E-03" "2,28E-03" NA "4,44E-03" NA NA NA NA NA NA NA "3,65E-03" "4,77E-03" "5,13E-03" NA NA "2,38E-03"
"Thymidine+1,5-Diphenylcarbohydrazide" NA "8,38E-02" "8,58E-02" "1,29E+00" "1,16E+00" "3,65E-01" "1,12E-01" "8,05E-02" "1,23E-01" "8,09E-01" "3,06E-01" "1,84E-01" "7,66E-02" NA "1,03E-01" "1,28E+00" "3,79E-01" NA "1,28E-01" "6,84E-02" "4,54E-02" NA NA NA NA "3,60E-01" "4,79E-01" "3,48E-01" "1,94E+00" NA "1,45E-01"
"Cytidine" NA "1,63E-02" "1,06E-02" NA NA NA "1,01E-02" "9,56E-03" "4,21E-03" NA "9,80E-03" NA NA NA "3,46E-03" NA NA NA "3,86E-03" "2,70E-03" "5,68E-03" "4,11E-03" "2,24E-03" "3,04E-03" NA "1,11E-02" "7,75E-03" "7,06E-03" NA "4,13E-03" NA
"N1-Acetylspermine" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1,90E-03" NA NA NA NA NA
"Pyridoxamine 5'-phosphate" "3,05E-02" "1,64E-02" "1,03E-02" "3,18E-02" "4,68E-02" "3,96E-02" "2,27E-02" "2,48E-02" "2,76E-02" "3,89E-02" "1,92E-02" "3,46E-02" "2,56E-02" "2,02E-02" "2,62E-02" "3,71E-02" "4,25E-02" "3,57E-02" "5,66E-02" "2,63E-02" "4,61E-02" "3,45E-02" "2,52E-02" "3,82E-02" "3,80E-02" "3,22E-02" "4,53E-02" "4,77E-02" "5,31E-02" NA "2,98E-02"
"2'-Deoxyadenosine+5'-Deoxyadenosine" NA "7,45E-03" "4,26E-03" NA NA NA NA "4,36E-03" NA NA "5,81E-03" NA NA NA NA NA NA NA NA "1,77E-03" NA NA NA NA NA "3,70E-03" "2,19E-03" NA NA NA NA
"N6-Methyl-2'-deoxyadenosine" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1,30E-03" NA NA NA "1,93E-03" NA NA NA NA NA
"Adenosine" "4,70E-02" "7,14E-02" "5,48E-02" "7,62E-02" "8,94E-02" "5,21E-02" "8,85E-02" "6,68E-02" "6,33E-02" "7,26E-02" "4,67E-02" "4,93E-02" "6,01E-02" "3,51E-02" "7,39E-02" "8,08E-02" "7,81E-02" "6,19E-02" "2,18E-02" "4,17E-02" "1,01E-01" "4,16E-02" "4,69E-02" "6,88E-02" "4,32E-02" "1,10E-01" "8,79E-02" "8,89E-02" "8,42E-02" "6,26E-02" "6,82E-02"
"Inosine" "1,83E-02" "5,19E-02" "9,11E-02" "1,99E-01" "3,68E-01" "6,73E-02" "1,14E-02" "2,91E-02" "2,79E-02" "7,24E-02" "2,40E-02" "1,07E-02" "2,41E-02" NA "2,91E-02" NA "3,89E-02" "1,50E-02" "1,29E-02" "2,62E-02" "2,71E-02" "2,47E-02" "3,09E-02" "2,49E-02" "3,23E-02" "3,18E-02" "5,19E-02" "4,06E-02" "1,14E-01" "2,19E-02" "2,56E-02"
"Glu-Glu" NA NA NA NA NA NA NA NA NA NA "4,83E-03" NA NA NA NA NA NA NA NA NA NA "4,99E-03" NA "2,87E-03" "2,70E-03" "5,32E-03" "4,08E-03" NA NA NA NA
"1-Methyladenosine" NA "3,32E-03" NA NA NA NA NA "1,24E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA "3,58E-03" NA NA NA "3,55E-03" NA NA NA NA NA
"Guanosine" "1,72E-02" "4,15E-02" "5,39E-02" "7,56E-02" "1,34E-01" "5,22E-02" "2,85E-02" "2,63E-02" "2,36E-02" "4,88E-02" "2,48E-02" "1,23E-02" "2,07E-02" "9,82E-03" "2,85E-02" "2,77E-02" "3,83E-02" "1,81E-02" "1,46E-02" "1,91E-02" "2,53E-02" "2,16E-02" "2,19E-02" "2,26E-02" "2,16E-02" "3,97E-02" "4,89E-02" "5,07E-02" "5,62E-02" "1,90E-02" "1,90E-02"
"5'-Deoxy-5'-Methylthioadenosine" NA "4,10E-03" NA NA NA NA "4,80E-03" "5,16E-03" "4,33E-03" NA "6,62E-03" NA NA NA NA NA NA NA "2,83E-03" "1,34E-02" "2,22E-03" "5,55E-03" "1,19E-03" "1,42E-03" NA NA "1,35E-03" NA NA "1,36E-03" NA
"Scopolamine" NA NA NA NA NA NA NA NA NA NA "2,71E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Nalpha-Benzenolarginine ethylester" NA "3,30E-03" "1,85E-03" NA NA NA "1,42E-03" "1,41E-03" NA NA "2,40E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "3,08E-03" "1,44E-03" NA NA NA NA
"Glutathione" "1,28E+01" "2,19E+00" "1,59E-01" "4,54E+00" "3,12E+00" "4,33E+00" "2,32E+00" "6,53E+00" "2,25E+00" "1,09E+01" "7,31E-02" "2,21E+01" "9,47E+00" "6,31E+00" "1,07E+01" "2,28E-01" "8,15E+00" "1,85E+01" "1,05E+01" "2,72E+00" "1,09E+01" "1,50E+01" "1,17E+01" "1,09E+01" "1,35E+01" "1,55E+01" "1,05E+01" "9,20E+00" "1,31E+00" "6,11E+00" "1,22E+01"
"5-Aminoimidazole-4-carboxamide-1-ribofuranosyl 5'-monophosphate" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1,75E-01" NA NA
"S-Lactoylglutathione" "1,92E-02" NA NA NA "1,24E-02" NA NA NA NA NA NA "3,16E-02" "9,10E-03" "1,22E-02" "3,40E-02" "1,80E-02" NA "1,49E-02" "2,24E-02" "2,08E-02" "9,06E-03" "1,62E-02" "7,42E-03" "9,03E-03" "9,08E-03" "4,42E-02" NA NA NA "8,69E-03" "1,82E-02"
"S-Adenosylhomocysteine" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1,53E-02" NA NA NA NA NA NA NA NA NA NA NA
"S-Adenosylmethionine" "1,27E-01" "7,55E-02" "4,09E-02" "8,88E-02" "2,23E-01" "7,95E-02" "6,76E-02" "8,05E-02" "6,92E-02" "1,46E-01" "3,97E-02" "1,45E-01" "1,47E-01" "8,40E-02" "1,04E-01" "1,57E-01" "7,96E-02" "1,31E-01" "1,17E-01" "2,88E-02" "8,98E-02" "7,02E-02" "6,98E-02" "5,71E-02" "9,57E-02" "7,83E-02" "1,22E-01" "1,00E-01" "2,93E-01" NA "1,66E-01"
"Leu-Leu-Tyr" NA "3,28E-03" "1,58E-03" NA NA NA NA "1,28E-03" NA NA "1,82E-03" NA NA NA NA NA NA NA NA NA NA "1,79E-03" NA NA NA "2,87E-03" "9,83E-04" NA NA NA NA
"Oxidized glutathione" "2,08E-01" "5,49E-01" "2,29E-01" "1,78E-01" "6,61E-01" "3,43E-02" "2,57E+00" "1,53E+00" "3,46E+00" "6,08E-01" "2,90E+00" "1,69E-01" "3,21E-02" "1,72E-01" "2,90E-01" "1,86E+00" "3,90E-01" "1,13E+00" "1,91E+00" "2,58E+00" "7,21E-01" "6,64E-01" "1,82E-01" "5,94E-01" "4,21E-01" "2,52E-01" "2,91E-01" "3,34E-01" "1,47E+00" NA "1,26E-01"
"Citrate" NA "2,48E-02" "3,92E-02" "1,62E-03" "5,93E-03" "2,31E-02" "4,66E-02" "3,18E-02" "5,18E-02" NA NA NA NA NA NA NA NA NA "9,22E-02" "4,13E-02" "3,43E-02" NA NA NA "2,93E-02" NA NA NA NA NA NA
"Divalent ion from UDP-glucuronate" NA "5,26E-02" "3,24E-01" NA "1,24E-01" "1,31E-01" "1,38E-01" "1,76E-01" "2,08E-01" "6,81E-02" "1,60E-01" "1,04E-01" "6,19E-02" NA "1,34E-01" NA "8,11E-02" NA NA "2,31E-01" "1,50E-01" "1,80E-01" NA "1,81E-01" "2,33E-01" "1,27E-01" "9,35E-02" "1,68E-01" "1,07E-01" NA NA
"Divalent ion from UDP-N-acetylglucosamine" "2,61E-01" "2,84E-01" NA "2,14E-02" "7,01E-01" "7,70E-02" "7,92E-01" "7,68E-01" "9,75E-01" "4,18E-01" "6,39E-01" "2,02E-01" "4,32E-02" "8,07E-02" "3,31E-01" "1,08E-01" "4,85E-02" "7,79E-01" "3,67E-01" "1,05E+00" "8,53E-01" "6,61E-01" "4,86E-01" "9,04E-01" "6,93E-01" "2,55E-01" "1,29E-01" "1,94E-01" "8,18E-01" "6,99E-01" "2,43E-01"
"dCMP" NA NA NA NA NA NA "6,37E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1,81E-02" "6,95E-03" NA
"TMP" "1,09E-01" "2,14E-02" "1,37E-02" "3,46E-01" "1,04E-01" "8,47E-02" "3,81E-02" "3,31E-02" "2,94E-02" "6,20E-02" "3,48E-02" "2,16E-01" "7,43E-02" "6,76E-02" "1,42E-01" "1,16E-01" "7,65E-02" "3,21E-02" NA "6,46E-01" "3,03E-02" "1,83E-02" "1,73E-02" "3,60E-02" "3,41E-02" "4,12E-02" "3,62E-02" "6,32E-02" "4,28E-02" "5,07E-02" "3,15E-01"
"CMP+CMP-N-acetylneuramate" "1,14E-01" "9,55E-02" "8,62E-02" "1,34E-01" "2,14E-01" "3,98E-01" "1,67E-01" "1,43E-01" "1,77E-01" "1,05E-01" "1,10E-01" "1,31E-01" "7,69E-02" "7,60E-02" "1,61E-01" "9,96E-02" "2,71E-01" "1,00E-01" "5,08E-01" "2,47E-01" "1,72E-01" "1,42E-01" "1,04E-01" "1,32E-01" "1,26E-01" NA NA NA NA NA "1,86E-01"
"CMP" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "6,49E-02" "6,49E-02" "6,49E-02" "6,49E-02" NA NA
"UMP" "1,96E-01" "8,91E-02" "1,08E-01" "2,71E-01" "2,18E-01" "1,61E-01" "1,55E-01" "1,23E-01" "1,34E-01" "1,36E-01" "1,23E-01" "3,54E-01" "1,33E-01" "1,44E-01" "2,89E-01" "3,24E-01" "1,48E-01" "1,23E-01" "1,20E-01" "5,04E-01" "1,46E-01" "9,57E-02" "9,39E-02" "1,08E-01" "1,10E-01" "1,03E-01" "1,15E-01" "2,28E-01" "3,25E-01" "1,24E-01" "4,55E-01"
"cAMP" "8,21E-03" "7,74E-03" "9,05E-03" "1,93E-03" "3,54E-03" "2,24E-03" "9,21E-03" "8,30E-03" "1,09E-02" "7,23E-03" "1,11E-02" "7,99E-03" "4,90E-03" NA "4,46E-03" "3,95E-03" "3,54E-03" "8,40E-03" "1,30E-02" "5,75E-03" "9,24E-03" "7,71E-03" "6,43E-03" "7,75E-03" "7,53E-03" "1,65E-03" "4,03E-03" "5,81E-03" "1,92E-02" "5,59E-03" "7,85E-03"
"dAMP" NA "1,17E-02" "1,45E-02" NA "1,62E-02" NA "1,66E-02" "1,26E-02" "1,16E-02" "3,73E-03" "1,03E-02" NA NA NA NA NA NA "1,51E-02" NA "9,78E-03" "1,02E-02" "6,20E-03" "7,77E-03" "1,38E-02" "7,66E-03" "5,15E-03" "2,89E-03" "5,03E-03" "3,08E-02" "1,22E-02" NA
"cGMP" NA NA NA "1,43E-02" "1,43E-02" "1,75E-02" NA "5,29E-02" NA "3,11E-02" NA NA NA NA NA NA "1,87E-02" NA NA NA NA NA NA NA NA "3,07E-02" "1,91E-02" "2,46E-02" NA NA NA
"AMP" "5,51E-01" "6,12E-01" "7,09E-01" "4,18E-01" "9,98E-01" "5,12E-01" "1,06E+00" "7,16E-01" "7,62E-01" "3,80E-01" "5,43E-01" "6,52E-01" "3,67E-01" "3,34E-01" "7,41E-01" "3,92E-01" "4,01E-01" "6,41E-01" "2,20E-01" "5,18E-01" "7,84E-01" "3,93E-01" "5,21E-01" "6,70E-01" "6,74E-01" "5,35E-01" "4,32E-01" "6,53E-01" "1,46E+00" "6,53E-01" "7,04E-01"
"IMP" "8,27E-02" "9,64E-02" "1,17E-01" "6,64E-02" "1,76E-01" "9,94E-02" "1,58E-01" "1,04E-01" "1,28E-01" "6,67E-02" "8,69E-02" "1,17E-01" "5,87E-02" "5,64E-02" "1,27E-01" "6,31E-02" "6,96E-02" "9,83E-02" "5,14E-02" "8,28E-02" "1,21E-01" "6,40E-02" "7,18E-02" "9,72E-02" "8,36E-02" "9,81E-02" "7,68E-02" "1,21E-01" "3,25E-01" "1,33E-01" "1,16E-01"
"GMP" "4,20E-02" "5,94E-02" "6,26E-02" "5,54E-02" "1,50E-01" "6,82E-02" "9,88E-02" "7,34E-02" "7,05E-02" "3,69E-02" "5,34E-02" "4,67E-02" "5,57E-02" "3,72E-02" "6,95E-02" "4,59E-02" "4,27E-02" "7,61E-02" "2,01E-02" "5,90E-02" "6,42E-02" "2,97E-02" "3,89E-02" "5,18E-02" "5,11E-02" "5,91E-02" "5,08E-02" "6,20E-02" "2,33E-01" "7,22E-02" "7,91E-02"
"Divalent ion from NADPH" NA "7,67E-02" NA NA NA NA "1,35E-01" "7,43E-02" "1,09E-01" NA "7,01E-02" NA NA NA NA NA NA NA "6,41E-02" "9,71E-02" "1,18E-01" NA NA NA NA "3,62E-01" "6,36E-02" NA NA NA NA
"Divalent ion from CoA" "2,37E-01" "4,97E-02" "1,20E-02" "5,99E-02" "3,34E-02" "8,82E-02" "6,64E-02" "2,30E-01" "8,43E-03" "1,49E-01" "6,02E-03" "8,37E-01" "1,32E-01" "1,49E-01" "5,94E-01" NA "1,61E-02" "4,10E-01" "2,54E-01" "3,63E-01" "5,85E-01" "2,45E-01" "2,35E-01" "5,50E-01" "4,63E-01" "7,30E-02" "3,16E-02" "1,56E-02" "6,85E-02" "2,34E-01" "9,34E-01"
"dCDP" "2,26E-02" "2,30E-02" "2,48E-02" "1,58E-02" "4,99E-02" "2,99E-02" "4,48E-02" "3,74E-02" "4,30E-02" "2,43E-02" "2,99E-02" "2,10E-02" "1,18E-02" "1,21E-02" "3,04E-02" "2,11E-02" "1,80E-02" "2,96E-02" "1,57E-02" "4,82E-02" "4,49E-02" "2,93E-02" "3,11E-02" "4,06E-02" "3,86E-02" "2,81E-02" "2,67E-02" "4,33E-02" "8,91E-02" "3,73E-02" "2,90E-02"
"TDP" "1,11E+00" "2,84E-02" "4,08E-02" "6,06E-01" "1,34E+00" "6,81E-01" "6,43E-02" "5,93E-02" "6,72E-02" "8,84E-01" "4,41E-02" "1,18E+00" "4,23E-01" "6,78E-01" "1,43E+00" "5,24E-01" "3,71E-01" "9,00E-02" "3,01E-02" "1,38E-01" "1,35E-01" "6,21E-02" "1,17E-01" "1,27E-01" "1,40E-01" "4,34E-01" "3,47E-01" "4,44E-01" "1,19E-01" "7,80E-02" "1,54E+00"
"CDP" "2,40E-01" "9,50E-02" "7,44E-02" "1,43E-01" "3,40E-01" "2,40E-01" "1,79E-01" "1,70E-01" "2,16E-01" "2,08E-01" "1,01E-01" "2,49E-01" "9,79E-02" "1,44E-01" "3,41E-01" "1,81E-01" "1,35E-01" "1,22E-01" "9,84E-02" "2,01E-01" "1,63E-01" "1,30E-01" "9,15E-02" "1,38E-01" "1,33E-01" "1,63E-01" "1,34E-01" "2,11E-01" "2,08E-01" "1,15E-01" "3,40E-01"
"UDP" "1,69E+00" "2,30E-01" "2,24E-01" "7,87E-01" "9,53E-01" "1,42E+00" "5,18E-01" "4,97E-01" "6,15E-01" "8,44E-01" "2,77E-01" "2,11E+00" "7,72E-01" "1,00E+00" "2,14E+00" "1,38E+00" "9,87E-01" "4,13E-01" "2,60E-01" "7,03E-01" "6,44E-01" "4,06E-01" "3,44E-01" "5,43E-01" "4,76E-01" "7,08E-01" "8,94E-01" "1,51E+00" "5,15E-01" "4,44E-01" "2,49E+00"
"Divalent ion from Acetyl CoA" "1,85E-01" "2,79E-02" "2,87E-02" "5,70E-01" "1,14E+00" "6,90E-02" "1,27E-01" "1,60E-01" "1,23E-01" "1,62E-01" "8,38E-02" "4,93E-01" "3,48E-02" "6,27E-02" "2,42E-01" "7,10E-02" "5,43E-02" "5,43E-01" "2,45E-01" "1,19E-01" "2,32E-01" "2,89E-01" "2,24E-01" "5,61E-01" "3,71E-01" "2,47E-01" "6,47E-02" "1,53E-01" "3,84E-01" "2,52E-01" "2,63E-01"
"?Malonyl CoA" NA NA NA NA NA NA "4,97E-03" "8,34E-03" "1,03E-02" NA "6,51E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"dADP" NA "3,68E-02" "4,01E-02" NA "5,55E-02" NA "7,10E-02" "6,57E-02" "5,56E-02" "1,72E-02" "5,20E-02" NA NA NA "7,41E-03" NA NA "5,91E-02" NA "8,17E-02" "7,01E-02" "3,78E-02" "3,60E-02" "4,96E-02" "4,36E-02" "1,39E-02" "5,92E-03" "1,02E-02" "1,20E-01" "5,03E-02" "9,19E-03"
"Divalent ion from n-Propionyl CoA" "1,63E-02" "5,84E-03" "1,84E-03" "1,17E-02" "7,86E-02" "3,41E-03" "9,32E-03" "1,66E-02" "1,08E-02" "2,03E-02" "6,62E-03" "2,71E-02" "3,01E-03" "4,79E-03" "1,17E-02" "3,23E-03" "8,62E-03" "2,67E-02" "1,44E-02" "1,06E-02" "1,61E-02" "9,50E-03" "1,05E-02" "3,37E-02" "1,54E-02" "6,68E-03" "1,67E-02" "2,21E-02" "9,85E-02" NA "2,68E-02"
"Divalent ion from D111*" "7,40E-03" "3,82E-03" NA "1,75E-03" "4,20E-03" NA "7,99E-03" "7,69E-03" "6,92E-03" "5,43E-03" "1,13E-02" "1,17E-02" "2,26E-03" "4,61E-03" "7,71E-03" "1,90E-03" "1,76E-03" "1,14E-02" "7,38E-03" "2,21E-02" "1,20E-02" "1,13E-02" "5,86E-03" "1,14E-02" "9,99E-03" "3,18E-03" "5,22E-04" "2,39E-03" "8,27E-03" "9,41E-03" "8,89E-03"
"Divalent ion from Isobutyryl CoA" "9,03E-03" "3,87E-03" NA "5,66E-03" "1,15E-02" "4,14E-03" "8,22E-03" "1,16E-02" "9,05E-03" "5,06E-03" "8,53E-03" "1,42E-02" "3,09E-03" "4,50E-03" "1,51E-02" "3,14E-03" "2,21E-03" "1,13E-02" "8,88E-03" "1,59E-02" "1,30E-02" "7,74E-03" "4,85E-03" "1,55E-02" "1,18E-02" "5,89E-03" "2,95E-03" "3,59E-03" NA "8,24E-03" "2,17E-02"
"ADP" "5,93E-01" "3,28E-01" "3,74E-01" "2,37E-01" "5,61E-01" "3,19E-01" "6,70E-01" "6,74E-01" "7,04E-01" "4,33E-01" "5,53E-01" "6,66E-01" "3,08E-01" "3,76E-01" "7,19E-01" "3,21E-01" "2,46E-01" "6,24E-01" "2,73E-01" "1,21E+00" "9,22E-01" "5,82E-01" "3,69E-01" "5,37E-01" "5,13E-01" "3,19E-01" "2,34E-01" "3,91E-01" "9,65E-01" "6,05E-01" "8,90E-01"
