"KO01" "KO02" "KO03" "KO04" "KO05x" "KO05" "KO06" "KO07" "KO08" "KO09" "KO10" "KO11" "KO12" "KO13" "KO14" "KO15" "KO16" "KO17" "KO18" "KO19" "KO20" "KO21" "KO22" "KO23" "KO24" "GR01" "GR02" "GR03" "GR04" "RF02" "RF03"
"Phenyl phosphate" NA "1,99E-02" NA NA NA NA NA "1,56E-02" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"cis-Aconitate" NA "1,01E-02" "4,61E-03" NA NA NA "2,94E-03" "4,89E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Shikimate" NA NA NA "4,10E+00" "4,44E+00" NA NA NA NA NA NA NA NA NA NA NA NA NA "1,61E-02" NA NA NA NA NA NA NA NA NA NA NA NA
"N-Acetylaspartate" "5,50E-02" "2,73E-02" "1,04E-02" NA "1,92E-02" "1,87E-02" "5,42E-02" "4,81E-02" "3,26E-02" "1,79E-02" "9,66E-02" "7,62E-02" "2,16E-02" "2,46E-02" "2,67E-02" "1,45E-02" "2,22E-02" "1,34E-01" "2,33E-01" "6,57E-02" "7,25E-02" "2,67E-02" "3,64E-02" "4,66E-02" "6,79E-02" "1,46E-02" "2,22E-01" "1,45E+00" "1,47E+00" "5,50E-02" "5,22E-02"
"Carbamoylaspartate" "5,10E-01" "1,76E-01" "2,88E-02" "5,50E-02" "1,83E-01" NA "6,24E-01" "6,17E-01" "3,23E-01" "2,11E-01" "6,68E-01" "6,80E-01" "2,56E-01" "3,45E-01" "2,77E-01" "1,46E-01" "1,78E-01" "9,74E-01" "1,59E-01" "8,04E-01" "6,23E-01" "4,04E-01" "4,06E-01" "6,05E-01" "7,18E-01" "2,42E-01" "3,32E-01" "2,63E-01" "4,54E-01" NA "6,09E-01"
"p-Hydroxyphenylpyruvate" "1,18E-01" NA NA NA NA NA NA NA NA NA NA "1,72E-01" "1,09E-01" "1,33E-01" "1,79E-01" NA NA "1,63E-01" "3,79E-01" "2,07E-01" "2,06E-01" "1,41E-01" "1,31E-01" "2,12E-01" "2,90E-01" NA NA NA "4,94E+00" NA "1,69E-01"
"4-Pyridoxate" NA "9,14E-03" "3,01E-03" "3,74E-03" NA NA "8,98E-04" "4,61E-03" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3-Phosphoglycerate" "3,77E-01" "1,00E-01" "7,25E-02" NA NA "4,43E-02" "3,77E-01" "3,39E-01" "1,33E-01" NA NA "7,35E-01" "7,01E-01" "5,51E-01" "4,40E-01" "1,75E-01" "8,92E-02" "4,52E-01" "1,38E-01" "3,01E-01" "4,09E-01" "1,54E-01" "1,41E-01" "5,97E-01" "4,40E-01" "2,10E-01" "2,36E-01" "1,73E-01" "7,89E-01" "5,43E-01" "7,46E-01"
"Azelaate" "1,82E-02" "1,93E-02" "1,60E-02" "4,25E-02" "5,20E-02" "1,58E-02" "1,78E-02" "1,54E-02" "2,54E-02" "3,63E-02" NA "1,61E-02" "2,01E-02" "1,87E-02" "1,86E-02" "3,57E-02" "9,47E-03" "9,54E-03" "1,02E-02" "2,14E-02" "1,26E-02" "8,55E-03" "5,16E-03" "7,33E-03" "6,93E-03" "1,66E-02" "2,04E-02" "1,33E-02" "4,88E-02" "4,06E-03" "1,80E-02"
"N-Acetylglutamate" "7,31E-03" "1,09E-02" NA NA "1,75E-02" NA "1,02E-02" "1,02E-02" NA "1,75E-02" "5,10E-02" "3,23E-02" "5,49E-03" "4,91E-03" "5,06E-03" "8,41E-03" "5,86E-03" "1,25E-02" NA "1,77E-02" "2,19E-02" "8,49E-03" "8,05E-03" "7,98E-03" "2,13E-02" "6,63E-03" "2,16E-02" "3,92E-02" "7,30E-02" "1,13E-02" "9,83E-03"
"Quinate" NA NA NA "1,87E+00" "2,63E-01" NA NA NA NA "2,81E-01" NA NA NA NA NA "2,93E-01" NA NA NA "2,26E-02" NA NA NA "2,56E-03" NA NA NA NA "2,36E-01" NA NA
"Phenaceturate" NA NA NA "4,85E-01" NA NA NA NA NA "6,12E-02" NA NA NA NA NA "6,15E-02" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Dodecanoate" NA "5,46E-02" "1,03E-01" NA NA NA "4,56E-02" "1,84E-02" "1,35E-01" NA NA NA NA NA NA NA NA NA NA "2,82E-02" NA NA NA NA NA NA NA NA NA NA NA
"Sebacate" "2,51E-03" "8,27E-03" "2,51E-03" "8,20E-03" "8,11E-03" "2,05E-03" "2,71E-03" "4,65E-03" "5,27E-03" "7,58E-03" NA "1,14E-03" "2,82E-03" "2,36E-03" "2,80E-03" NA "1,84E-03" "7,83E-04" NA NA NA NA NA NA NA NA NA NA NA NA "2,32E-03"
"Benzylsuccinate" "2,64E-03" NA NA NA NA NA NA NA NA NA NA "2,38E-03" "1,60E-03" "1,86E-03" "1,48E-03" NA NA "1,62E-03" NA NA NA NA NA NA NA NA NA NA NA NA "2,31E-03"
"2-Deoxyribose 1-phosphate" "1,71E-02" "1,91E-02" "8,85E-03" NA NA "2,84E-02" "3,83E-02" "3,19E-02" "3,64E-02" "6,80E-02" NA "1,48E-02" "7,72E-03" "1,09E-02" "1,46E-02" NA "2,67E-02" "4,68E-02" "3,70E-02" "5,98E-02" "9,86E-02" "4,85E-02" "4,44E-02" "8,14E-02" "9,68E-02" "2,54E-02" "2,80E-02" "3,83E-02" NA "6,73E-02" "1,86E-02"
"Pantothenate" "1,68E-02" "1,73E-02" NA "1,44E-02" "2,68E-02" "2,01E-02" "1,90E-02" "1,93E-02" "3,81E-02" "1,28E-02" NA "1,68E-02" "1,51E-02" "1,02E-02" "1,30E-02" "1,11E-02" "2,00E-02" "2,20E-02" "5,66E-02" "1,86E-02" "1,90E-02" "2,91E-02" "1,87E-02" "2,04E-02" "1,76E-02" "2,21E-02" "2,41E-02" "3,93E-02" "2,87E-02" "1,80E-02" "1,23E-02"
